num	hex 	char	name_1	name_2	name_3	name_4	name_5	name_6
1009	03F1	ϱ	rhov	varrho				
1013	03F5	ϵ	epsi	straightepsilon				
1014	03F6	϶	bepsi	backepsilon				
1025	0401	Ё	IOcy					
1026	0402	Ђ	DJcy					
1027	0403	Ѓ	GJcy					
1028	0404	Є	Jukcy					
1029	0405	Ѕ	DScy					
1030	0406	І	Iukcy					
1031	0407	Ї	YIcy					
1032	0408	Ј	Jsercy					
1033	0409	Љ	LJcy					
1034	040A	Њ	NJcy					
1035	040B	Ћ	TSHcy					
1036	040C	Ќ	KJcy					
1038	040E	Ў	Ubrcy					
1039	040F	Џ	DZcy					
1040	0410	А	Acy					
1041	0411	Б	Bcy					
1042	0412	В	Vcy					
1043	0413	Г	Gcy					
1044	0414	Д	Dcy					
1045	0415	Е	IEcy					
1046	0416	Ж	ZHcy					
1047	0417	З	Zcy					
1048	0418	И	Icy					
1049	0419	Й	Jcy					
1050	041A	К	Kcy					
1051	041B	Л	Lcy					
1052	041C	М	Mcy					
1053	041D	Н	Ncy					
1054	041E	О	Ocy					
1055	041F	П	Pcy					
1056	0420	Р	Rcy					
1057	0421	С	Scy					
1058	0422	Т	Tcy					
1059	0423	У	Ucy					
1060	0424	Ф	Fcy					
1061	0425	Х	KHcy					
1062	0426	Ц	TScy					
1063	0427	Ч	CHcy					
1064	0428	Ш	SHcy					
1065	0429	Щ	SHCHcy					
1066	042A	Ъ	HARDcy					
1067	042B	Ы	Ycy					
1068	042C	Ь	SOFTcy					
1069	042D	Э	Ecy					
1070	042E	Ю	YUcy					
1071	042F	Я	YAcy					
1072	0430	а	acy					
1073	0431	б	bcy					
1074	0432	в	vcy					
1075	0433	г	gcy					
1076	0434	д	dcy					
1077	0435	е	iecy					
1078	0436	ж	zhcy					
1079	0437	з	zcy					
1080	0438	и	icy					
1081	0439	й	jcy					
1082	043A	к	kcy					
1083	043B	л	lcy					
1084	043C	м	mcy					
1085	043D	н	ncy					
1086	043E	о	ocy					
1087	043F	п	pcy					
1088	0440	р	rcy					
1089	0441	с	scy					
1090	0442	т	tcy					
1091	0443	у	ucy					
1092	0444	ф	fcy					
1093	0445	х	khcy					
1094	0446	ц	tscy					
1095	0447	ч	chcy					
1096	0448	ш	shcy					
1097	0449	щ	shchcy					
1098	044A	ъ	hardcy					
1099	044B	ы	ycy					
1100	044C	ь	softcy					
1101	044D	э	ecy					
1102	044E	ю	yucy					
1103	044F	я	yacy					
1105	0451	ё	iocy					
1106	0452	ђ	djcy					
1107	0453	ѓ	gjcy					
1108	0454	є	jukcy					
1109	0455	ѕ	dscy					
1110	0456	і	iukcy					
1111	0457	ї	yicy					
1112	0458	ј	jsercy					
1113	0459	љ	ljcy					
1114	045A	њ	njcy					
1115	045B	ћ	tshcy					
1116	045C	ќ	kjcy					
1118	045E	ў	ubrcy					
1119	045F	џ	dzcy					
8194	2002	 	ensp					
8195	2003	 	emsp					
8196	2004	 	emsp13					
8197	2005	 	emsp14					
8199	2007	 	numsp					
8200	2008	 	puncsp					
8201	2009	 	thinsp	ThinSpace				
8202	200A	 	hairsp	VeryThinSpace				
8203	200B	 	ZeroWidthSpace	NegativeVeryThinSpace	NegativeThinSpace	NegativeMediumSpace	NegativeThickSpace	
8204	200C	 	zwnj					
8205	200D	 	zwj					
8206	200E	 	lrm					
8207	200F	 	rlm					
8208	2010	‐	hyphen	dash				
8211	2013	–	ndash					
8212	2014	—	mdash					
8213	2015	―	horbar					
8214	2016	‖	Verbar	Vert				
8216	2018	‘	lsquo	OpenCurlyQuote				
8217	2019	’	rsquo	rsquor	CloseCurlyQuote			
8218	201A	‚	sbquo	lsquor				
8220	201C	“	ldquo	OpenCurlyDoubleQuote				
8221	201D	”	rdquo	rdquor	CloseCurlyDoubleQuote			
8222	201E	„	bdquo	ldquor				
8224	2020	†	dagger					
8225	2021	‡	Dagger	ddagger				
8226	2022	•	bull	bullet				
8229	2025	‥	nldr					
8230	2026	…	hellip	mldr				
8240	2030	‰	permil					
8241	2031	‱	pertenk					
8242	2032	′	prime					
8243	2033	″	Prime					
8244	2034	‴	tprime					
8245	2035	‵	bprime	backprime				
8249	2039	‹	lsaquo					
8250	203A	›	rsaquo					
8254	203E	‾	oline					
8257	2041	⁁	caret					
8259	2043	⁃	hybull					
8260	2044	⁄	frasl					
8271	204F	⁏	bsemi					
8279	2057	⁗	qprime					
8287	205F	 	MediumSpace					
8288	2060	 	NoBreak					
8289	2061	 	ApplyFunction	af				
8290	2062	 	InvisibleTimes	it				
8291	2063	 	InvisibleComma	ic				
8364	20AC	€	euro					
8411	20DB		tdot	TripleDot				
8412	20DC		DotDot					
8450	2102	ℂ	Copf	complexes				
8453	2105	℅	incare					
8458	210A	ℊ	gscr					
8459	210B	ℋ	hamilt	HilbertSpace	Hscr			
8460	210C	ℌ	Hfr	PoincarePlane				
8461	210D	ℍ	quaternions	Hopf				
8462	210E	ℎ	planckh					
8463	210F	ℏ	planck	hbar	plankv	hslash		
8464	2110	ℐ	Iscr	imagline				
8465	2111	ℑ	image	Im	imagpart	Ifr		
8466	2112	ℒ	Lscr	lagram	Laplacetrf			
8467	2113	ℓ	ell					
8469	2115	ℕ	Nopf	naturals				
8470	2116	№	numero					
8471	2117	℗	copysr					
8472	2118	℘	weierp	wp				
8473	2119	ℙ	Popf	primes				
8474	211A	ℚ	rationals	Qopf				
8475	211B	ℛ	Rscr	realine				
8476	211C	ℜ	real	Re	realpart	Rfr		
8477	211D	ℝ	reals	Ropf				
8478	211E	℞	rx					
8482	2122	™	trade					
8484	2124	ℤ	integers	Zopf				
8486	2126	Ω	ohm					
8487	2127	℧	mho					
8488	2128	ℨ	Zfr	zeetrf				
8489	2129	℩	iiota					
8491	212B	Å	angst					
8492	212C	ℬ	bernou	Bernoullis	Bscr			
8493	212D	ℭ	Cfr	Cayleys				
8495	212F	ℯ	escr					
8496	2130	ℰ	Escr	expectation				
8497	2131	ℱ	Fscr	Fouriertrf				
8499	2133	ℳ	phmmat	Mscr	Mellintrf			
8500	2134	ℴ	order	orderof	oscr			
8501	2135	ℵ	alefsym	aleph				
8502	2136	ℶ	beth					
8503	2137	ℷ	gimel					
8504	2138	ℸ	daleth					
8517	2145	ⅅ	CapitalDifferentialD	DD				
8518	2146	ⅆ	DifferentialD	dd				
8519	2147	ⅇ	ExponentialE	exponentiale	ee			
8520	2148	ⅈ	ImaginaryI	ii				
8531	2153	⅓	frac13					
8532	2154	⅔	frac23					
8533	2155	⅕	frac15					
8534	2156	⅖	frac25					
8535	2157	⅗	frac35					
8536	2158	⅘	frac45					
8537	2159	⅙	frac16					
8538	215A	⅚	frac56					
8539	215B	⅛	frac18					
8540	215C	⅜	frac38					
8541	215D	⅝	frac58					
8542	215E	⅞	frac78					
8592	2190	←	larr	leftarrow	LeftArrow	slarr	ShortLeftArrow	
8593	2191	↑	uarr	uparrow	UpArrow	ShortUpArrow		
8594	2192	→	rarr	rightarrow	RightArrow	srarr	ShortRightArrow	
8595	2193	↓	darr	downarrow	DownArrow	ShortDownArrow		
8596	2194	↔	harr	leftrightarrow	LeftRightArrow			
8597	2195	↕	varr	updownarrow	UpDownArrow			
8598	2196	↖	nwarr	UpperLeftArrow	nwarrow			
8599	2197	↗	nearr	UpperRightArrow	nearrow			
8600	2198	↘	searr	searrow	LowerRightArrow			
8601	2199	↙	swarr	swarrow	LowerLeftArrow			
8602	219A	↚	nlarr	nleftarrow				
8603	219B	↛	nrarr	nrightarrow				
8605	219D	↝	rarrw	rightsquigarrow				
8606	219E	↞	Larr	twoheadleftarrow				
8607	219F	↟	Uarr					
8608	21A0	↠	Rarr	twoheadrightarrow				
8609	21A1	↡	Darr					
8610	21A2	↢	larrtl	leftarrowtail				
8611	21A3	↣	rarrtl	rightarrowtail				
8612	21A4	↤	LeftTeeArrow	mapstoleft				
8613	21A5	↥	UpTeeArrow	mapstoup				
8614	21A6	↦	map	RightTeeArrow	mapsto			
8615	21A7	↧	DownTeeArrow	mapstodown				
8617	21A9	↩	larrhk	hookleftarrow				
8618	21AA	↪	rarrhk	hookrightarrow				
8619	21AB	↫	larrlp	looparrowleft				
8620	21AC	↬	rarrlp	looparrowright				
8621	21AD	↭	harrw	leftrightsquigarrow				
8622	21AE	↮	nharrow	nleftrightarrow				
8624	21B0	↰	lsh	Lsh				
8625	21B1	↱	rsh	Rsh				
8626	21B2	↲	ldsh					
8627	21B3	↳	rdsh					
8629	21B5	↵	crarr					
8630	21B6	↶	cularr	curvearrowleft				
8631	21B7	↷	curarr	curvearrowright				
8634	21BA	↺	olarr	circlearrowleft				
8635	21BB	↻	orarr	circlearrowright				
8636	21BC	↼	lharu	LeftVector	leftharpoonup			
8637	21BD	↽	lhard	leftharpoondown	DownLeftVector			
8638	21BE	↾	uharr	upharpoonright	RightUpVector			
8639	21BF	↿	uharl	upharpoonleft	LeftUpVector			
8640	21C0	⇀	rharu	RightVector	rightharpoonup			
8641	21C1	⇁	rhard	rightharpoondown	DownRightVector			
8642	21C2	⇂	dharr	RightDownVector	downharpoonright			
8643	21C3	⇃	dharl	LeftDownVector	downharpoonleft			
8644	21C4	⇄	rlarr	rightleftarrows	RightArrowLeftArrow			
8645	21C5	⇅	udarr	UpArrowDownArrow				
8646	21C6	⇆	lrarr	leftrightarrows	LeftArrowRightArrow			
8647	21C7	⇇	llarr	leftleftarrows				
8648	21C8	⇈	uuarr	upuparrows				
8649	21C9	⇉	rrarr	rightrightarrows				
8650	21CA	⇉	ddarr	downdownarrows				
8651	21CB	⇋	lrhar	ReverseEquilibrium	leftrightharpoons			
8652	21CC	⇌	rlhar	Equilibrium	rightleftharpoons			
8653	21CD	⇍	nlArr	nLeftArrow				
8654	21CE	⇍	nhArr	nLeftrightarrow				
8655	21CF	⇍	nrArr	nRightArrow				
8656	21D0	⇐	lArr	Leftarrow	DoubleLeftArrow			
8657	21D1	⇑	uArr	Uparrow	DoubleUpArrow			
8658	21D2	⇒	rArr	Rightarrow	Implies	DoubleRightArrow		
8659	21D3	⇓	dArr	Downarrow	DoubleDownArrow			
8660	21D4	⇔	hArr	Leftrightarrow	DoubleLeftRightArrow	iff		
8661	21D5	⇕	vArr	Updownarrow	DoubleUpDownArrow			
8662	21D6	⇖	nwArr					
8663	21D7	⇗	neArr					
8664	21D8	⇘	seArr					
8665	21D9	⇙	swArr					
8666	21DA	⇚	lAarr	Lleftarrow				
8667	21DB	⇛	rAarr	Rrightarrow				
8669	21DD	⇝	zigrarr					
8676	21E4	⇤	larrb	LeftArrowBar				
8677	21E5	⇤	rarrb	RightArrowBar				
8693	21F5	⇵	duarr	DownArrowUpArrow				
8701	21FD	⇽	loarr					
8702	21FE	⇾	roarr					
8703	21FF	⇿	hoarr					
8704	2200	∀	forall	ForAll				
8705	2201	∁	comp	complement				
8706	2202	∂	part	PartialD				
8707	2203	∃	exist	Exists				
8708	2204	∄	nexist	NotExists	nexists			
8709	2205	∅	empty	emptyset	emptyv	varnothing		
8711	2207	∇	nabla	Del				
8712	2208	∈	isin	isinv	Element	in		
8713	2209	∉	notin	NotElement	notinva			
8715	220B	∋	ni	niv	ReverseElement	SuchThat		
8716	220C	∌	notni	notniva	NotReverseElement			
8719	220F	∏	prod	Product				
8720	2210	∐	coprod	Coproduct				
8721	2211	∑	sum	Sum				
8722	2212	−	minus					
8723	2213	∓	mnplus	mp	MinusPlus			
8724	2214	∔	plusdo	dotplus				
8726	2216	∖	setmn	setminus	Backslash	ssetmn	smallsetminus	
8727	2217	∗	lowast					
8728	2218	∘	compfn	SmallCircle				
8730	221A	√	radic	Sqrt				
8733	221D	∝	prop	propto	Proportional	vprop	varpropto	
8734	221E	∞	infin					
8735	221F	∟	angrt					
8736	2220	∠	ang	angle				
8737	2221	∡	angmsd	measuredangle				
8738	2222	∡	angsph					
8739	2223	∣	mid	VerticalBar	smid	shortmid		
8740	2224	∤	nmid	NotVerticalBar	nsmid	nshortmid		
8741	2225	∥	par	parallel	DoubleVerticalBar	spar	shortparallel	
8742	2226	∦	npar	nparallel	NotDoubleVerticalBar	nspar	nshortparallel	
8743	2227	∧	and	wedge				
8744	2228	∨	or	vee				
8745	2229	∩	cap					
8746	222A	∪	cup					
8747	222B	∫	int	Integral				
8748	222C	∬	int	Integral				
8749	222D	∭	tint	iiint				
8750	222E	∮	conint	oint	ContourIntegral			
8751	222F	∯	Conint	DoubleContourIntegral				
8752	2230	∰	Cconint					
8753	2231	∱	cwint					
8754	2232	∲	cwconint	ClockwiseContourIntegral				
8755	2233	∲	awconint	CounterClockwiseContourIntegral				
8756	2234	∴	there4	therefore	Therefore			
8757	2235	∵	becaus	because	Because			
8758	2236	∶	ratio					
8759	2237	∷	Colon	Proportion				
8760	2238	∸	minusd	dotminus				
8762	223A	∺	mDDot					
8763	223B	∻	homtht					
8764	223C	∼	sim	Tilde	thksim	thicksim		
8765	223D	∽	bsim	backsim				
8766	223E	∾	ac	mstpos				
8767	223F	∿	acd					
8768	2240	≀	wreath	VerticalTilde	wr			
8769	2241	≁	nsim	NotTilde				
8770	2242	≂	esim	EqualTilde	eqsim			
8771	2243	≃	sime	TildeEqual	simeq			
8772	2244	≄	nsime	nsimeq	NotTildeEqual			
8773	2245	≅	cong	TildeFullEqual				
8774	2246	≆	simne					
8775	2247	≇	ncong	NotTildeFullEqual				
8776	2248	≈	asymp	ap	TildeTilde	approx	thkap	thickapprox
8777	2249	≉	nap	NotTildeTilde	napprox			
8778	224A	≊	ape	approxeq				
8779	224B	≋	apid					
8780	224C	≌	bcong	backcong				
8781	224D	≍	asympeq	CupCap				
8782	224E	≎	bump	HumpDownHump	Bumpeq			
8783	224F	≏	bumpe	HumpEqual	Humpeq			
8784	2250	≐	esdot	DotEqual	doteq			
8785	2251	≑	edot	doteqdot				
8786	2252	≒	efdot	fallingdotseq				
8787	2253	≓	erdot	risingdotseq				
8788	2254	≔	colone	coloneq	Assign			
8789	2255	≕	ecolon	eqcolon				
8790	2256	≖	ecir	eqcirc				
8791	2257	≗	cire	circeq				
8793	2259	≙	wedgeq					
8794	225A	≚	veeeq					
8796	225C	≜	trie	triangleq				
8799	225F	≟	equest	questeq				
8800	2260	≠	ne	NotEqual				
8801	2261	≡	equiv	Congruent				
8802	2262	≢	nequiv	NotCongruent				
8804	2264	≤	le	LessEqual	leq			
8805	2265	≥	ge	GreaterEqual	geq			
8806	2266	≦	lE	LessFullEqual	leqq			
8807	2267	≧	gE	GreaterFullEqual	geqq			
8808	2268	≨	lnE	lneqq				
8809	2269	≩	gnE	gneqq				
8810	226A	≪	Lt	NestedLessLess	ll			
8811	226B	≫	Gt	NestedGreaterGreater	gg			
8812	226C	≬	twixt	between				
8813	226D	≭	NotCupCap					
8814	226E	≮	nlt	NotLess	nless			
8815	226F	≯	ngt	NotGreater	ngtr			
8816	2270	≰	nle	NotLessEqual	nleq			
8817	2271	≱	nge	NotGreaterEqual	ngeq			
8818	2272	≲	lsim	LessTilde	lesssim			
8819	2273	≳	gsim	GreaterTilde	gtrsim			
8820	2274	≴	nlsim	NotLessTilde				
8821	2275	≵	ngsim	NotGreaterTilde				
8822	2276	≶	lg	lessgtr	LessGreater			
8823	2277	≷	gl	gtrless	GreaterLess			
8824	2278	≸	ntlg	NotLessGreater				
8825	2279	≹	ntgl	GreaterLess				
8826	227A	≺	pr	Precedes	prec			
8827	227B	≻	sc	Succeeds	succ			
8828	227C	≼	prcue	PrecedesSlantEqual	preccurlyeq			
8829	227D	≽	sccue	SucceedsSlantEqual	succcurlyeq			
8830	227E	≾	prsim	precsim	PrecedesTilde			
8831	227F	≿	sccue	SucceedsSlantEqual	succcurlyeq			
8832	2280	⊀	npr	nprec	NotPrecedes			
8833	2281	⊁	nsc	nsucc	NotSucceeds			
8834	2282	⊂	sub	subset				
8835	2283	⊃	sup	supset	Superset			
8836	2284	⊄	nsub					
8837	2285	⊅	nsup					
8838	2286	⊆	sube	SubsetEqual	subseteq			
8839	2287	⊇	supe	supseteq	SupersetEqual			
8840	2288	⊈	nsube	nsubseteq	NotSubsetEqual			
8841	2289	⊉	nsupe	nsupseteq	NotSupersetEqual			
8842	228A	⊊	subne	subsetneq				
8843	228B	⊋	supne	supsetneq				
8845	228D	⊍	cupdot					
8846	228E	⊎	uplus	UnionPlus				
8847	228F	⊏	sqsub	SquareSubset	sqsubset			
8848	2290	⊐	sqsup	SquareSuperset	sqsupset			
8849	2291	⊑	sqsube	SquareSubsetEqual	sqsubseteq			
8850	2292	⊒	sqsupe	SquareSupersetEqual	sqsupseteq			
8851	2293	⊓	sqcap	SquareIntersection				
8852	2294	⊔	sqcup	SquareUnion				
8853	2295	⊕	oplus	CirclePlus				
8854	2296	⊖	ominus	CircleMinus				
8855	2297	⊗	otimes	CircleTimes				
8856	2298	⊘	osol					
8857	2299	⊙	odot	CircleDot				
8858	229A	⊚	ocr	circledcirc				
8859	229B	⊛	oast	circledast				
8861	229D	⊝	odash	circleddash				
8862	229E	⊞	plusb	boxplus				
8863	229F	⊟	minusb	boxminus				
8864	22A0	⊠	timesb	boxtimes				
8865	22A1	⊡	sdotb	dotsquare				
8866	22A2	⊢	vdash	RightTee				
8867	22A3	⊣	dashv	LeftTee				
8868	22A4	⊤	top	DownTee				
8869	22A5	⊥	perp	bottom	bot	UpTee		
8871	22A7	⊧	models					
8872	22A8	⊨	vDash	DoubleRightTee				
8873	22A9	⊩	Vdash					
8874	22AA	⊪	Vvdash					
8875	22AB	⊫	VDash					
8876	22AC	⊬	nvdash					
8877	22AD	⊭	nvDash					
8878	22AE	⊮	nVdash					
8879	22AF	⊯	nVDash					
8880	22B0	⊰	prurel					
8882	22B2	⊲	vltri	vartriangleleft	LeftTriangle			
8883	22B3	⊳	vrtri	vartriangleright	RightTriangle;			
8884	22B4	⊴	ltrie	trianglelefteq	LeftTriangleEqual			
8885	22B5	⊵	rtrie	trianglerighteq	RightTriangleEqual			
8886	22B6	⊶	origof					
8887	22B7	⊷	imof					
8888	22B8	⊸	mmap	multimap				
8889	22B9	⊹	hercon					
8890	22BA	⊺	intcal	intercal				
8891	22BB	⊻	veebar					
8893	22BD	⊽	barvee					
8894	22BE	⊾	angrtvb					
8895	22BF	⊿	lrtri					
8896	22C0	⋀	xwedge	Wedge	bigwedge			
